"H (A_per_meter)" 	"B (tesla)"
96600.00	0.96
96700.00	0.96
96800.00	0.96
96900.00	0.96
97000.00	0.96
97100.00	0.96
97200.00	0.96
97300.00	0.96
97400.00	0.96
97500.00	0.96
97600.00	0.96
97700.00	0.96
97800.00	0.96
97900.00	0.96
98000.00	0.96
98100.00	0.96
98200.00	0.96
98300.00	0.96
98400.00	0.96
98500.00	0.96
98600.00	0.96
98700.00	0.96
98800.00	0.96
98900.00	0.96
99000.00	0.96
99100.00	0.96
99200.00	0.96
99300.00	0.96
99400.00	0.96
99500.00	0.96
99600.00	0.96
99700.00	0.96
99800.00	0.96
99900.00	0.96
100000.00	0.96
100100.00	0.96
100200.00	0.96
100300.00	0.96
100400.00	0.96
100500.00	0.96
100600.00	0.96
100700.00	0.96
100800.00	0.96
100900.00	0.96
101000.00	0.96
101100.00	0.96
101200.00	0.96
101300.00	0.96
101400.00	0.96
101500.00	0.96
101600.00	0.96
101700.00	0.96
101800.00	0.96
101900.00	0.96
102000.00	0.96
102100.00	0.96
102200.00	0.96
102300.00	0.96
102400.00	0.96
102500.00	0.96
102600.00	0.96
102700.00	0.96
102800.00	0.96
102900.00	0.96
103000.00	0.96
103100.00	0.96
103200.00	0.96
103300.00	0.96
103400.00	0.96
103500.00	0.96
103600.00	0.96
103700.00	0.96
103800.00	0.96
103900.00	0.96
104000.00	0.96
104100.00	0.96
104200.00	0.96
104300.00	0.96
104400.00	0.96
104500.00	0.96
104600.00	0.96
104700.00	0.96
104800.00	0.96
104900.00	0.96
105000.00	0.96
105100.00	0.96
105200.00	0.96
105300.00	0.96
105400.00	0.96
105500.00	0.96
105600.00	0.96
105700.00	0.96
105800.00	0.96
105900.00	0.96
106000.00	0.96
106100.00	0.96
106200.00	0.97
106300.00	0.97
106400.00	0.97
106500.00	0.97
106600.00	0.97
106700.00	0.97
106800.00	0.97
106900.00	0.97
107000.00	0.97
107100.00	0.97
107200.00	0.97
107300.00	0.97
107400.00	0.97
107500.00	0.97
107600.00	0.97
107700.00	0.97
107800.00	0.97
107900.00	0.97
108000.00	0.97
108100.00	0.97
108200.00	0.97
108300.00	0.97
108400.00	0.97
108500.00	0.97
108600.00	0.97
108700.00	0.97
108800.00	0.97
108900.00	0.97
109000.00	0.97
109100.00	0.97
109200.00	0.97
109300.00	0.97
109400.00	0.97
109500.00	0.97
109600.00	0.97
109700.00	0.97
109800.00	0.97
109900.00	0.97
110000.00	0.97
110100.00	0.97
110200.00	0.97
110300.00	0.97
110400.00	0.97
110500.00	0.97
110600.00	0.97
110700.00	0.97
110800.00	0.97
110900.00	0.97
111000.00	0.97
111100.00	0.97
111200.00	0.97
111300.00	0.97
111400.00	0.97
111500.00	0.97
111600.00	0.97
111700.00	0.97
111800.00	0.97
111900.00	0.97
112000.00	0.97
112100.00	0.97
112200.00	0.97
112300.00	0.97
112400.00	0.97
112500.00	0.97
112600.00	0.97
112700.00	0.97
112800.00	0.97
112900.00	0.97
113000.00	0.97
113100.00	0.97
113200.00	0.97
113300.00	0.97
113400.00	0.97
113500.00	0.97
113600.00	0.97
113700.00	0.97
113800.00	0.97
113900.00	0.97
114000.00	0.97
114100.00	0.97
114200.00	0.97
114300.00	0.97
114400.00	0.97
114500.00	0.97
114600.00	0.97
114700.00	0.97
114800.00	0.97
114900.00	0.97
115000.00	0.97
115100.00	0.97
115200.00	0.97
115300.00	0.97
115400.00	0.97
115500.00	0.97
115600.00	0.97
115700.00	0.97
115800.00	0.97
115900.00	0.97
116000.00	0.97
116100.00	0.97
116200.00	0.97
116300.00	0.97
116400.00	0.97
116500.00	0.97
116600.00	0.97
116700.00	0.97
116800.00	0.97
116900.00	0.97
117000.00	0.97
117100.00	0.97
117200.00	0.97
117300.00	0.97
117400.00	0.97
117500.00	0.97
117600.00	0.97
117700.00	0.97
117800.00	0.97
117900.00	0.97
118000.00	0.97
118100.00	0.97
118200.00	0.97
118300.00	0.97
118400.00	0.97
118500.00	0.97
118600.00	0.97
118700.00	0.97
118800.00	0.97
118900.00	0.97
119000.00	0.97
119100.00	0.97
119200.00	0.97
119300.00	0.97
119400.00	0.97
119500.00	0.97
119600.00	0.97
119700.00	0.97
119800.00	0.97
119900.00	0.97
120000.00	0.97
120100.00	0.97
120200.00	0.97
120300.00	0.97
120400.00	0.97
120500.00	0.97
120600.00	0.97
120700.00	0.97
120800.00	0.97
120900.00	0.97
121000.00	0.97
121100.00	0.97
121200.00	0.97
121300.00	0.97
121400.00	0.97
121500.00	0.97
121600.00	0.97
121700.00	0.97
121800.00	0.97
121900.00	0.97
122000.00	0.97
122100.00	0.97
122200.00	0.97
122300.00	0.97
122400.00	0.97
122500.00	0.97
122600.00	0.97
122700.00	0.97
122800.00	0.97
122900.00	0.97
123000.00	0.97
123100.00	0.97
123200.00	0.97
123300.00	0.97
123400.00	0.97
123500.00	0.97
123600.00	0.97
123700.00	0.97
123800.00	0.97
123900.00	0.97
124000.00	0.97
124100.00	0.97
124200.00	0.97
124300.00	0.97
124400.00	0.97
124500.00	0.97
124600.00	0.97
124700.00	0.97
124800.00	0.97
124900.00	0.97
125000.00	0.97
125100.00	0.97
125200.00	0.97
125300.00	0.97
125400.00	0.97
125500.00	0.97
125600.00	0.97
125700.00	0.97
125800.00	0.97
125900.00	0.98
126000.00	0.98
126100.00	0.98
126200.00	0.98
126300.00	0.98
126400.00	0.98
126500.00	0.98
126600.00	0.98
126700.00	0.98
126800.00	0.98
126900.00	0.98
127000.00	0.98
127100.00	0.98
127200.00	0.98
127300.00	0.98
127400.00	0.98
127500.00	0.98
127600.00	0.98
127700.00	0.98
127800.00	0.98
127900.00	0.98
128000.00	0.98
128100.00	0.98
128200.00	0.98
